Customer No.,Customer Name
C0000394,ΖΑΦΕΙΡΟΠΟΥΛΟΣ ΝΙΚΟΣ
C0000395,ΚΟΡΦΙΑΤΗΣ Γ. ΝΙΚΟΣ
C0000399,ΛΥΜΠΕΡΗΣ ΑΛΕΞΑΝΔΡΟΣ
C0000403,ΣΙΩΠΚΑΣ Δ. ΓΕΩΡΓΙΟΣ
C0000407,ΑΒΤΖΗΣ Δ. ΠΑΝΑΓΙΩΤΗΣ
C0000412,ΜΑΛΛΗΣ ΓΕΩΡΓΙΟΣ Του ΗΛΙΑ
C0000421,ΦΑΤΣΕΑ ΑΦΡΟΔΙΤΗ
C0000423,ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ Ι. ΣΩΤΗΡΗΣ
C0000431,ΕΜΜΑΝΟΥΗΛ Β ΓΡΑΤΣΙΑΣ
C0000443,ΣΑΚΕΛΑΡΙΟΥ ΧΡΗΣΤΟΣ
C0000445,ΙΟΡΔΑΝΙΔΗΣ Ι Γ
C0000455,ΣΤΡΟΥΖΑΣ ΣΤΕΦΑΝΟΣ
C0000456,ΜΑΤΑΛΑΣ ΔΗΜΗΤΡΙΟΣ
C0000458,ΜΑΝΤΟΥΚΟΣ ΠΕΤΡΟΣ
C0000462,ΖΥΓΟΥΡΑΣ ΧΡ. ΚΩΝΣΤΑΝΤΙΝΟΣ
C0000463,ΣΙΝΕΛΗΣ ΑΘ. ΓΕΩΡΓΙΟΣ
C0000464,ΚΩΣΤΑΣ ΗΛ. ΙΩΑΝΝΙΔΗΣ
C0000465,ΨΑΛΤΟΥΔΗΣ  ΚΩΝΣΤΑΝΤΙΝΟΣ ΠΕΛΟΠΙΔΑΣ
C0000467,ΙΑΤΡΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ
C0000469,ΤΑΣΙΟΣ ΓΕΩΡΓΙΟΣ
C0000471,ΚΑΤΣΟΣ ΚΩΝ. ΙΩΑΝΝΗΣ
C0000475,ΑΡΒΑΝΙΤΗΣ ΣΠΥΡΟΣ
C0000476,ΚΑΡΑΧΑΛΙΟΣ ΓΙΩΡΓΟΣ
C0000479,ΣΙΚΙΑΡΙΔΗΣ ΣΤΥΛΙΑΝΟΣ
C0000480,ΙΩΑΝΝΗΣ ΑΝΔ ΜΑΣΑΟΥΤΗΣ
C0000481,ΖΑΓΟΡΙΑΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ
C0000482,ΓΑΪΤΑΝΗΣ ΔΗΜΗΤΡΙΟΣ
C0000483,ΜΠΛΕΤΣΑΣ ΕΥΘΥΜΙΟΣ
C0000484,ΒΑΡΕΛΙΑΣ ΠΑΝΑΓΙΩΤΗΣ ΑΘ
C0000488,ΜΠΕΤΙΝΗΣ Δ.ΓΕΡΑΣΙΜΟΣ
C0000489,ΜΙΚΡΟΥΛΗΣ ΙΩΑΝΝΗΣ
C0000490,ΚΙΣΣΑΣ ΔΗΜΗΤΡΙΟΣ
C0000491,ΝΙΚΟΛΑΟΥ ΞΕΝΟΦΩΝ
C0000492,ΜΠΑΛΑΦΑΣ ΘΕΟ.ΘΕΟΧΑΡΗΣ
C0000495,ΑΠΟΣΤΟΛΟΣ ΣΩΤ. ΣΕΜΠΡΟΣ
C0000497,ΡΑΔΑΙΟΥ Γ. ΚΥΡΙΑΚΟΥΛΑ
C0000500,ΜΥΡΙΟΚΕΦΑΛΙΤΑΚΗΣ Ι. ΒΑΣΙΛΗΣ
C0000513,ΚΟΥΣΑΘΑΝΑΣ ΑΘΑΝΑΣΙΟΣ-ΜΕΓΑΣ
C0000523,ΑΛΕΞΙΟΥ ΣΠΥΡΟΣ
C0000532,ΚΑΡΑΘΕΟΔΩΡΗΣ Κ. ΧΡΗΣΤΟΣ
C0000534,ΒΑΣΙΛΕΙΟΣ Α. ΠΟΛΙΤΑΣ
C0000536,ΕΥΤΥΧΙΑΚΟΣ ΗΛ ΝΙΚΟΛΑΟΣ
C0000537,ΚΑΟΥΝΗΣ Μ. ΧΡΗΣΤΟΣ
C0000542,ΚΑΣΤΡΙΝΟΣ ΧΡΗΣΤΟΣ
C0000545,ΛΕΤΣΙΟΣ ΔΗΜΗΤΡΙΟΣ
C0000553,ΚΑΝΤΑΡΤΖΗΣ Π.
C0000556,ΑΡΕΤΑΚΗΣ ΓΙΩΡΓΟΣ
C0000559,ΓΕΡΑΣΙΜΟΣ ΠΕΡΠΙΝΙΑΣ
C0000563,ΧΙΩΝΗΣ ΑΝΔΡΕΑΣ
C0000565,ΚΩΝΣΤΑΝΤΙΝΙΔΟΥ ΕΥΑΓΓΕΛΙΑ ΛΑΖ.
C0000580,ΣΟΥΛΙΟΣ Β. ΔΗΜΗΤΡΙΟΣ
C0000582,ΣΤΑΘΑΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ
C0000593,ΑΝΤΩΝΑΚΗ ΚΑΤΕΡΙΝΑ
C0000600,ΑΡΓΥΡΗΣ ΝΤΙΝΟΣ
C0000605,ΤΖΙΩΛΑΣ ΓΕΩΡΓΙΟΣ
C0000606,ΤΡΟΧΑΤΟΣ ΓΕΩΡΓΙΟΣ
C0000612,ΒΑΡΣΑΜΗ ΔΙΟΝΥΣΙΑ
C0000614,ΜΠΟΥΜΠΟΥΡΗΣ ΑΘΑΝΑΣΙΟΣ
C0000615,ΜΠΕΛΙΩΤΗΣ ΒΑΣΙΛΗΣ
C0000621,ΠΙΤΑΡΑΚΗ-ΜΙΧΑΛΟΒΙΤΣ ΕΥΓΕΝΙΑ
C0000622,ΚΑΠΟΥΛΕΑΣ ΣΩΚΡ ΔΗΜΗΤΡΙΟΣ
C0000631,ΔΗΜΗΤΡΗΣ ΝΙΚ. ΑΠΟΛΛΩΝ
C0000636,ΑΓΓΕΛΑΚΗ ΑΙΜΙΛΙΑ
C0000647,ΚΥΠΡΑΙΟΣ ΕΜΜΑΝΟΥΗΛ
C0000649,ΚΑΛΕΡΓΗΣ ΚΩΝ/ΝΟΣ
C0000654,ΣΤΑΘΟΠΟΥΛΟΣ ΠΕΤΡΟΣ
C0000659,ΦΑΚΙΤΣΑΣ ΙΩΑΝΝΗΣ
C0000660,ΙΩΑΝΝΗΣ ΧΡ. ΠΙΣΤΟΛΑΣ
C0000665,ΑΝΑΣΤΑΣΙΑΔΗΣ ΙΩΑΝΝΗΣ
C0000669,ΤΣΕΛΕΧΙΔΗ ΕΛΠΙΔΑ Φ. Χ'ΠΑΝΤΕΛΗ
C0000670,ΒΕΝΙΕΡΗΣ ΦΡΑΓΚΙΣΚΟΣ
C0000675,ΔΑΡΖΕΝΤΑΣ  ΣΠΥΡΙΔΩΝ ΓΕΩΡΓΙΟΣ
C0000677,ΒΑΡΣΑΝΗΣ ΙΩΑΝΝΗΣ
C0000680,ΜΗΤΣΟΠΟΥΛΟΥ  ΧΡΥΣΟΥΛΑ ΓΕΩΡΓΙΟΣ
C0000682,ΖΑΧΑΡΙΑΔΗΣ ΔΗΜΗΤΡΗΣ
C0000684,ΚΑΡΑΓΙΑΝΝΑΚΗ ΧΑΤΖΗΔΑΚΗ ΓΕΩΡΓΙΑ
C0000688,ΗΜΕΛΛΟΣ ΝΙΚΟΛΑΟΣ
C0000691,ΚΟΝΤΟΕΙΔΗ ΑΝΑΣΤΑΣΙΑ
C0000692,ΜΑΡΙΝΑΚΗΣ ΝΙΚΟΣ
C0000698,ΜΑΝΙΩΤΗΣ ΘΕΟΔΩΡΟΣ
C0000701,ΧΡΙΣΤΟΠΟΥΛΟΣ ΝΙΚ.ΚΩΝ/ΝΟΣ
C0000702,ΛΟΥΛΟΣ ΓΙΩΡΓΟΣ
C0000703,ΣΠΥΡΙΔΩΝΟΣ  ΙΩΑΝΝΗΣ ΓΕΩΡΓΙΟΣ
C0000704,ΠΡΕΒΕΔΟΥΡΑΚΗΣ ΓΕΩΡΓΙΟΣ SUZUKI
C0000710,ΑΠΟΣΤΟΛΑΚΗΣ ΚΩΣΤΗΣ
C0000715,ΧΡΙΣΤΟΔΟΥΛΟΥ ΜΙΧΑΗΛ
C0000722,ΧΙΤΟΓΛΟΥ ΝΙΚΟΛΑΟΣ Γ. ΤΟ ΠΕΡΙΒΟΛΙ ΤΗΣ ΠΑΝ
C0000723,ΔΑΛΑΤΣΗΣ ΑΘΑΝΑΣΙΟΣ
C0000730,ΜΑΚΡΥΠΟΥΛΙΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ
C0000731,ΜΑΝΩΛΑ ΜΑΡΙΑ ΕΜΜ.
C0000735,ΠΑΤΣΗΣ ΣΠ. ΒΑΣΙΛΕΙΟΣ
C0000737,ΤΣΙΡΕΛΗΣ ΠΑΝΑΓΙΩΤΗΣ
C0000741,ΝΑΖΟΣ ΘΕΟΦΙΛΟΣ
C0000747,ΣΓΟΥΡΟΣ ΜΑΝΩΛΗΣ
C0000752,ΚΑΛΛΙΤΣΑΡΗΣ Ι. ΜΟΣΧΟΣ
C0000753,ΓΙΟΒΑΝΗ ΑΓΓΕΛΙΚΗ
C0000754,ΚΟΝΤΑΞΗΣ ΗΛΙΑΣ
C0000755,ΒΑΚΟΝΔΙΟΣ ΔΗΜΗΤΡΙΟΣ ΓΕΩΡ.
C0000757,ΜΠΑΡΜΠΟΥΝΗΣ ΧΑΡ. ΠΑΝΑΓΙΩΤΗΣ
C0000758,ΠΕΡΠΥΡΑΚΗΣ Β.ΑΠΟΣΤΟΛΟΣ
C0000760,ΤΣΟΥΚΑΛΟΣ ΑΘΑΝΑΣΙΟΣ
C0000764,ΜΠΕΝΕΤΑΤΟΣ ΔΙΟΝ. ΑΝΔΡΕΑΣ
C0000765,ΤΣΙΡΩΝΗΣ Γ. ΣΩΤΗΡΙΟΣ
C0000769,ΔΑΜΙΓΟΣ ΦΡ.ΠΕΤΡΟΣ
C0000770,ΧΑΤΖΗΔΑΚΗΣ ΣΤΕΦΑΝΟΣ
C0000772,ΝΤΕΤΣΙΚΑΣ ΓΕΩΡΓΙΟΣ
C0000773,ΙΩΑΝΝΟΥ ΧΡ. ΓΕΩΡΓΙΟΣ
C0000783,ΚΑΡΥΔΑΣ ΙΩΑΝΝΗΣ
C0000799,ΤΙΓΚΛΙΑΝΙΔΟΥ ΠΑΝΑΓΙΩΤΑ
C0000802,ΓΚΟΝΤΙΝΟΠΟΥΛΟΣ ΠΑΝ. ΧΑΡΑΛΑΜΠΟΣ
C0000805,ΚΟΝΤΟΓΙΑΝΝΗΣ ΗΛΙΑΣ
C0000812,ΜΙΧΑΛΗΣ Μ. ΜΑΡΓΑΡΙΤΙΔΗΣ
C0000814,ΜΠΑΞΕΒΑΝΟΠΟΥΛΟΣ ΑΝΑΣΤΑΣΙΟΣ
C0000816,ΛΕΜΑΣ ΕΥΑΓΓΕΛΟΣ
C0000825,ΓΕΩΡΓΙΟΣ ΑΝ. ΠΑΣΣΑΣ
C0000830,ΝΤΡΙΣΜΠΙΩΤΗΣ ΝΙΚΟΛΑΟΣ
C0000832,ΓΚΙΓΚΗΣ ΚΩΣΤΑΣ ΔΗΜ.
C0000835,ΠΑΠΑΔΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ
C0000838,ΚΟΥΤΟΥΛΟΓΕΝΗ Γ. ΣΠΥΡΟΥ ΦΑΡΜΑΚΕΙΟ
C0000848,ΤΣΙΩΤΣΙΑΣ ΒΑΣΙΛΕΙΟΣ
C0000849,ΧΑΤΖΗΙΩΑΝΝΙΔΗΣ ΓΕΩΡΓ.ΕΥΣΤΑΘΙΟΣ
C0000850,ΠΑΠΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ
C0000851,ΦΕΓΚΑΣ ΧΡΗΣΤΟΣ
C0000852,ΔΗΜΗΤΡΙΟΥ ΚΩΝ. ΒΑΣΙΛΗΣ
C0000853,ΡΗΓΑ  ΑΝΑΣΤ ΙΩΑΝΝΗΣ
C0000857,ΜΑΡΚΟΥ ΓΕΩΡΓΙΟΣ
C0000858,ΑΜΠΑΤΖΗΣ ΠΟΛΥΔΩΡΟΣ Π.
C0000859,ΜΟΣΧΟΒΗΣ ΠΑΝΑΓΙΩΤΗΣ
C0000860,ΠΑΠΑΚΩΝΣΤΑΝΤΙΝΟΥ ΜΑΡΙΑ
C0000864,ΜΑΘΙΟΥΔΑΚΗΣ ΒΑΡΘΟΛΟΜΑΙΟΣ
C0000866,ΘΕΟΔΩΡΟΥ ΔΗΜ. ΚΩΝΣΤΑΝΤΙΝΟΣ
C0000870,ΠΡΑΣΙΝΟΥ ΜΑΡΙΑ
C0000871,ΧΑΤΖΟΓΛΟΥ  Κ. ΑΝΑΣΤΑΣΙΟΣ
C0000880,ΑΡΒΑΝΙΤΗΣ ΣΠΥΡΟΣ
C0000883,ΜΑΛΑΘΡΑΚΗΣ Δ.
C0000884,ΑΔΑΜΑΚΗΣ ΕΜΜΑΝΟΥΗΛ
C0000887,ΥΒΟΝΝΕ ΦΑΚΕΝ
C0000895,ΔΙΑΚΑΝΤΩΝΗΣ ΝΙΚΟΣ-CLUBSPORT HELLAS
C0000898,ΑΓΑΠΗΤΑΚΗΣ ΙΩΑΝ.ΑΓΑΠΗΤΟΣ
C0000899,ΔΑΓΙΑΝΤΗ ΜΑΡΩ
C0000904,ΗΛΙΑΚΟΠΟΥΛΟΣ ΗΛΙΑΣ
C0000905,ΚΑΣΙΜΑΤΗΣ ΕΜΜ. ΝΙΚΟΛΑΟΣ
C0000907,ΜΠΑΚΑΛΗ ΠΑΝ. ΕΛΕΝΗ
C0000913,ΑΙΚ ΓΕΩΡΓΙΟΣ ΛΙΖΑΡΔΟΣ
C0000914,ΠΑΡΑΒΑΤΟΣ ΧΡΥΣΟΜΟΣ
C0000915,ΚΟΥΤΣΟΘΑΝΑΣΗΣ ΙΩΑΝΝΗΣ
C0000917,ΚΑΠΑΡΟΣ Π. ΠΕΤΡΟΣ
C0000921,ΑΡΓΥΡΗΣ Γ. ΧΑΡΑΛΑΜΠΟΣ
C0000925,ΤΣΙΜΑΣ ΣΠΟΡ
C0000933,ΑΧΤΣΙΟΓΛΟΥ ΘΕΜΙΣΤΟΚΛΗΣ
C0000935,ΜΠΕΛΙΟΣ Γ.ΔΗΜΗΤΡΙΟΣ
C0000939,ΚΩΣΤΑΝΤΙΝΙΔΗΣ ΣΤΑΥΡΟΣ
C0000940,ΧΑΤΖΗΑΝΤΩΝΙΟΥ ΙΩΑΝΝΗΣ
C0000942,ΤΣΑΚΟΣ ΓΙΩΡΓΟΣ
C0000944,ΣΥΜΕΩΝΙΔΗΣ Χ. ΕΜΜ.
C0000946,ΙΩΑΝΝΙΔΗΣ Π. ΚΥΡΙΑΚΟΣ
C0000948,ΣΥΝΕΤΟΣ ΠΑΥΛΟΣ Κ.
C0000949,ΒΕΡΣΗ ΑΙΚΑΤΕΡΙΝΗ
C0000951,ΞΕΝΑΚΗΣ Γ. ΝΙΚΟΛΑΟΣ
C0000952,ΒΙΤΑΛΗΣ ΣΤΕΦΑΝΟΣ
C0000953,ΒΟΥΚΕΛΑΤΟΣ ΑΛΕΞΑΝΔΡΟΣ
C0000959,ΞΥΓΚΑΚΗ ΜΙΧ.ΦΩΤΕΙΝΗ
C0000961,ΠΑΠΑΔΗΜΗΤΡΙΟΥ  ΚΟΝΔΥΛΙΑ ΒΑΣΙΛΕΙΟΣ
C0000963,ΠΑΥΛΑΚΗΣ ΔΗΜ.ΓΕΩΡΓΙΟΣ
C0000964,ΠΙΛΑΤΟΣ ΦΩΤΗΣ
C0000967,ΒΕΝΕΡΗ - ΓΡΙΒΑ ΠΑΡΑΣΚΕΥΗ
C0000968,ΚΟΥΚΟΥΒΙΝΗΣ ΧΑΡ.ΑΝΤΩΝΗΣ
C0000970,ΤΖΙΚΑΚΗΣ Ν ΕΥΣΤΑΘΙΟΣ
C0000971,ΑΘΑΝΑΣΙΟΥ ΙΩΑΝΝΗΣ
C0000972,ΚΟΥΡΚΟΥΝΑΣ ΖΗΣΗΣ
C0000976,ΠΑΡΑΣΧΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ
C0000977,ΤΣΑΓΚΑΛΙΔΗΣ ΚΩΝ/ΝΟΣ
C0000979,ΝΙΚΟΛΑΟΥ Κ. ΜΙΧΑΗΛ
C0000981,ΚΑΛΑΤΖΗΣ Κ. ΚΟΣΜΑΣ
C0000987,ΚΑΡΜΑΝΙΟΛΑΣ ΙΩΑΝΝΗΣ
C0000993,ΛΙΤΣΑΣ Θ ΑΝΑΣΤΑΣΙΟΣ
C0000995,ΤΡΕΖΟΣ ΣΟΦ.ΠΑΥΛΟΣ ALLIANZ
C0000996,ΧΑΝΙΩΤΟΥ  ΑΝΝΑ ΓΕΩΡΓΙΟΣ
C0001005,ΨΥΛΑΚΗΣ ΘΩΜΑΣ
C0001006,ΣΙΑΓΙΑΝΝΗΣ ΙΩΑΝΝΗΣ
C0001007,ΚΑΡΑΓΚΟΥΝΗΣ ΚΩΝ/ΝΟΣ
C0001013,ΙΩΑΝΝΗΣ Π. ΡΟΠΑΚΑΣ
C0001015,ΔΙΔΑΣΚΑΛΟΥ ΠΑΝΑΓΙΩΤΗΣ
C0001017,ΝΙΚΟΛΑΟΥ ΣΟΦΙΑ
C0001018,ΣΑΧΛΑ ΜΕΛΠΟΜΕΝΗ
C0001021,ΚΩΣΤΑΡΙΔΗΣ ΒΑΣΙΛΕΙΟΣ
C0001023,ΚΥΡΙΑΚΟΠΟΥΛΟΣ ΧΡ. ΝΙΚΟΛΑΟΣ
C0001024,ΜΙΧΑΛΗΣ ΔΗΜ. ΜΑΛΛΙΟΣ
C0001035,ΔΙΑΜΑΝΤΙΔΗΣ ΒΛΑΣΗΣ
C0001036,ΕΛΕΥΘΕΡΙΑΔΗΣ ΛΑΖΑΡΗΣ
C0001037,ΕΥΣΤΑΘΙΟΥ ΠΡΟΚΟΠΗΣ
C0001038,ΚΑΡΑΓΕΩΡΓΙΟΥ ΔΗΜΗΤΡΗΣ
C0001045,ΚΟΚΚΙΝΟΠΟΥΛΟΣ ΠΑΝΤΕΛΗΣ
C0001052,ΡΟΜΠΟΡΑ ΑΓΓΕΛΙΚΗ
C0001056,ΚΑΛΑΘΑΚΗΣ ΘΕΟΔΩΡΟΣ Ι.Ι.ΕΚ KAPPA STUDIES
C0001060,ΝΙΧΛΟΣ ΑΝΤΩΝΙΟΣ
C0001061,ΠΟΘΟΥ-ΦΕΤΦΑΤΣΙΔΗ ΣΟΦΙΑ
C0001062,ΓΙΩΡΓΟΣ ΜΑΣΤΟΡΑΚΗΣ
C0001067,ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ
C0001068,ΒΑΚΟΝΔΙΟΣ ΦΡΑΓΚΙΣΚΟΣ
C0001069,ΚΥΡΙΑΚΟΣ ΑΦΕΝΤΟΥΛΗΣ
C0001070,ΠΑΝΑΓΙΩΤΗΣ  Ε. ΠΑΠΑΡΙΣΒΑΣ
C0001071,ΠΑΠΑΣΤΑΜΑΤΙΟΥ ΙΩΑΝΝΗΣ
C0001074,ΠΑΠΑΛΑΖΑΡΟΥ ΑΝΑΣΤΑΣΙΟΣ
C0001082,PANTELIDES IOANNIS
C0001088,ΜΙΣΟΚΕΦΑΛΟΣ ΕΥΑΓ.ΠΑΝΤΕΛΗΣ
C0001089,ΠΡΑΚ/ΡΕΙΟ ΟΠΑΠ  Ο ΑΣΣΟΣ  ΑΙΧΜΑΛΩΤΙΔΗΣ ΧΑ
C0001091,ΜΠΑΚΟΓΙΑΝΝΗ ΧΡΥΣΟΥΛΑ
C0001094,ΚΑΛΦΑΣ Δ.ΒΑΣΙΛΗΣ
C0001095,ΚΑΣΑΡΑΚΗΣ ΑΝΔΡΕΑΣ
C0001097,ΚΥΤΤΑΡΟΥΔΗΣ ΔΗΜΗΤΡΙΟΣ
C0001098,ΚΟΥΜΑΤΖΙΔΗΣ Δ. ΚΩΝ/ΝΟΣ
C0001101,ΧΟΥΡΜΟΥΖΕΛΗΣ Α. ΑΡΓΥΡΙΟΣ
C0001113,ΖΟΥΡΟΣ ΠΑΝΑΓΙΩΤΗΣ
C0001119,ΓΕΩΡΓΟΣ ΠΑΝΑΓΙΩΤΗΣ
C0001122,ΚΡΗΤΙΚΟΣ ΧΡΗΣΤΟΣ
C0001133,ΜΠΑΡΔΑΝΗ ΕΜΜ. ΙΩΑΝΝΑ
C0001135,ΓΙΑΤΑΓΑΝΑΣ ΑΝΔΡΕΑΣ
C0001147,ΒΙΚΕΛΗΣ ΠΕΤΡ. ΑΝΤΩΝΙΟΣ
C0001148,ΚΩΝ/ΝΟΣ ΠΑΝ. ΚΟΤΣΙΚΑΣ
C0001150,ΠΕΡΙΣΤΕΡΑΚΗ ΑΝΘΗ
C0001163,ΤΟΛΙΟΠΟΥΛΟΣ Δ.ΑΘΑΝΑΣΙΟΣ
C0001167,ΜΑΡΚΑΝΤΩΝΗΣ ΣΤΑΜΑΤΗΣ
C0001168,ΠΟΜΟΝΗΣ ΑΝΑΣΤΑΣΗΣ
